,Country,News Publisher,Country Stance,Headline,parsed_dates,Headline Stance
3861,US,CNN,Pro Israel,Reports of more bodies disovered in a mass grave at a Gaza hospital,2024-04-24,Neutral
3862,US,CNN,Pro Israel,"Heres whats in the foreign aid package for Ukraine, Israel",2024-04-24,Pro-Israel
3863,US,CNN,Pro Israel,"Israel steps up strikes across Gaza, orders new evacuations",2024-04-24,Pro-Israel
3864,US,CNN,Pro Israel,IDF unit under scrutiny,2024-04-24,Pro-Israel
3865,US,CNN,Pro Israel,"April 23, 2024 - Israel-Hamas war",2024-04-24,Neutral
3866,US,CNN,Pro Israel,Pro-Palestinian protests rock major U.S. universities,2024-04-24,Pro-Palestine
3867,US,CNN,Pro Israel,Protesters remain at Yale University a day after 45 pro-Palestinian activists were arrested on campus,2024-04-24,Pro-Palestine
3868,US,CNN,Pro Israel,"Google has fired 50 employees after protests over Israel cloud deal, organizers say",2024-04-23,Neutral
3869,US,CNN,Pro Israel,Pro-Palestinian protests sweep across U.S. universities,2024-04-23,Pro-Palestine
3870,US,CNN,Pro Israel,"5 things to know for April 23: Trump trial, Gaza, Ukraine, Health care privacy, Dubai floods",2024-04-23,Neutral
3871,US,CNN,Pro Israel,Jewish student describes tensions on Columbia campus,2024-04-23,Neutral
3872,US,CNN,Pro Israel,'This is a crime against humanity': Gaza doctor on mass grave uncovered at hospital,2024-04-23,Pro-Palestine
3873,US,CNN,Pro Israel,"April 22, 2024 - Israel-Hamas war",2024-04-23,Neutral
3874,US,CNN,Pro Israel,"Ahead of Passover, CNN talks to students on tense Columbia campus",2024-04-23,Pro-Palestine
3875,US,CNN,Pro Israel,Columbia University holds classes virtually amid tensions,2024-04-22,Pro-Palestine
3876,US,CNN,Pro Israel,"Ahead of Passover, CNN talks to students on tense Columbia campus",2024-04-22,Pro-Palestine
3877,US,CNN,Pro Israel,Israel's intelligence chief steps down over failures on October 7th,2024-04-22,Neutral
3878,US,CNN,Pro Israel,Israeli leaders and military criticize reported US plans to sanction IDF unit,2024-04-22,Pro-Israel
3879,US,CNN,Pro Israel,Israeli military intelligence chief quits over Hamas-led October 7 attacks,2024-04-22,Pro-Israel
3880,US,CNN,Pro Israel,"U.N. says more than 10,000 women killed in Gaza since Oct. 7",2024-04-22,Pro-Israel
3881,US,CNN,Pro Israel,"New footage from inside Gaza shows refugee homes, businesses destroyed",2024-04-22,Pro-Palestine
3882,US,CNN,Pro Israel,"April 21, 2024 - News on the Middle East conflicts",2024-04-22,Neutral
3883,US,CNN,Pro Israel,How Johnson came to embrace Ukraine aid and defy his right flank,2024-04-21,Pro-Palestine
3884,US,CNN,Pro Israel,On GPS: Jordan's foreign minister: 'The focus should remain on Gaza',2024-04-21,Neutral
3885,US,CNN,Pro Israel,FBI: Anti-Jewish hate crime cases tripled in wake of Oct. 7 Hamas attack,2024-04-21,Neutral
3886,US,CNN,Pro Israel,"April 20, 2024 - News on the Middle East conflicts",2024-04-21,Neutral
3887,US,CNN,Pro Israel,Pro-Palestinian protesters call for change at Columbia University,2024-04-21,Pro-Palestine
3888,US,CNN,Pro Israel,U.S. aid bill includes $26 billion for Israel,2024-04-21,Pro-Israel
3889,US,CNN,Pro Israel,Protesters call for ouster of Netanyahu's government,2024-04-21,Neutral
3890,US,CNN,Pro Israel,Ambulance driver killed while aiding Palestinians injured in attack by Israeli settlers in the West Bank,2024-04-21,Pro-Palestine
3891,US,CNN,Pro Israel,Thank You America!: Ukraines Zelensky and Israels Netanyahu hail House passage of $95 billion foreign aid package,2024-04-21,Pro-Israel
3892,US,CNN,Pro Israel,Opinion: The Ministry of Ungentlemanly Warfare has a surprising secret,2024-04-20,Neutral
3893,US,CNN,Pro Israel,Biden administration secures key agreement for aid distribution from US military pier being built off Gaza coast,2024-04-20,Neutral
3894,US,CNN,Pro Israel,'Israel made a strategic misjudgment': Britain's former spymaster on the Middle East conflict,2024-04-20,Neutral
3895,US,CNN,Pro Israel,Expert: Israel & Iran attacks intended as 'signaling',2024-04-20,Pro-Israel
3896,US,CNN,Pro Israel,"Member of Iraqs Popular Mobilization Units killed in blast at base, Iraqi army says",2024-04-20,Pro-Israel
3897,US,CNN,Pro Israel,Israeli military: 276 aid trucks entered Gaza on Friday,2024-04-20,Pro-Palestine
3898,US,CNN,Pro Israel,Washington wrestles with new equation of direct attacks between Iran and Israel,2024-04-20,Neutral
3899,US,CNN,Pro Israel,"April 19, 2024 - Iran targeted in aerial attack",2024-04-20,Pro-Israel
3900,US,CNN,Pro Israel,Satellite images shows extent of damage after Israeli strike on Iran,2024-04-20,Pro-Israel
3901,US,CNN,Pro Israel,Egypt calls for restraint amid Israeli strikes on Iran,2024-04-20,Pro-Palestine
3902,US,CNN,Pro Israel,Video appears to show aftermath of explosions at Iran-backed base in Iraq,2024-04-20,Pro-Palestine
3903,US,CNN,Pro Israel,Washington wrestles with new equation of direct attacks between Iran and Israel,2024-04-20,Neutral
3904,US,CNN,Pro Israel,Israel strikes Iran: Expert questions whether a 'symbolic' victory is a 'tangible' victory,2024-04-19,Pro-Israel
3905,US,CNN,Pro Israel,"'Retaliation yes, escalation no': Former Head of Israeli Defense Intelligence reacts to strike on Iran",2024-04-19,Neutral
3906,US,CNN,Pro Israel,The U.S. House of Representatives has passed a procedural measure to set up a vote on aid for Israel and Ukraine this weekend,2024-04-19,Neutral
3907,US,CNN,Pro Israel,Israeli and Iranian strikes transform Middle East geopolitics,2024-04-19,Neutral
3908,US,CNN,Pro Israel,US imposes sanctions on two groups for fundraising for Israeli extremists in West Bank,2024-04-19,Pro-Palestine
3909,US,CNN,Pro Israel,Iran and Israel have averted an all-out war  for now,2024-04-19,Pro-Israel
3910,US,CNN,Pro Israel,Students at more universities announce solidarity rallies after 108 pro-Palestinian activists are arrested at Columbia,2024-04-19,Pro-Palestine
3911,US,CNN,Pro Israel,"U.S. official: Israel strikes at Iran, Iran reports no damage",2024-04-19,Pro-Israel
3912,US,CNN,Pro Israel,Oil prices fluctuate after Israels attack on Iran,2024-04-19,Pro-Israel
3913,US,CNN,Pro Israel,Biden administration tightlipped on Israel strike as US looks to maintain distance from decision,2024-04-19,Pro-Israel
3914,US,CNN,Pro Israel,Opinion: I survived the Holocaust. What I see happening in Berkeley is frightening,2024-04-19,Neutral
3915,US,CNN,Pro Israel,"Israel has carried out a strike inside Iran, US official tells CNN, as region braces for further escalation",2024-04-19,Pro-Palestine
3916,US,CNN,Pro Israel,Video shows flashes in sky near location where Israel struck Iran,2024-04-19,Pro-Palestine
3917,US,CNN,Pro Israel,Iran says it shot down drones as regional tensions flare. How did we get here?,2024-04-19,Pro-Israel
3918,US,CNN,Pro Israel,Iranian journalist on how Iranian media reported the Israeli attack,2024-04-19,Pro-Israel
3919,US,CNN,Pro Israel,Retired U.S. Army General: the situation between Israel and Iran has not returned to normal,2024-04-19,Neutral
3920,US,CNN,Pro Israel,"Former senior Israeli general: Israel has to respond to Iran, but in a proportional way",2024-04-19,Neutral
3921,US,CNN,Pro Israel,"U.S. Official: Israel strikes Iran, target not nuclear",2024-04-19,Pro-Israel
3922,US,CNN,Pro Israel,"U.S. Official: Israel strikes Iran, target not nuclear",2024-04-19,Pro-Israel
3923,US,CNN,Pro Israel,"Iran says air defense activated, no threats reported across the country",2024-04-19,Pro-Israel
3924,US,CNN,Pro Israel,"Irans military response will be immediate and at a maximum level if Israel attacks, foreign minister says",2024-04-19,Pro-Israel
3925,US,CNN,Pro Israel,Iran's FARS news: Three explosions heard near army base in Isfahan province,2024-04-19,Neutral
3926,US,CNN,Pro Israel,Israeli military says they have 'no comment' following reports of explosions in Iran,2024-04-19,Pro-Israel
3927,US,CNN,Pro Israel,"April 18, 2024 - Iran targeted in aerial attack",2024-04-19,Pro-Israel
3928,US,CNN,Pro Israel,"Israel strikes Iran, U.S. official says",2024-04-19,Pro-Israel
3929,US,CNN,Pro Israel,Red lines for Israel & Iran,2024-04-19,Neutral
3930,US,CNN,Pro Israel,'Messaging phase is perhaps over': Ex-US intel chief reacts to Israel attack on Iran,2024-04-19,Pro-Israel
3931,US,CNN,Pro Israel,Iran's Foreign Minister issued warning to Israel just hours before Israel attack on Iran,2024-04-19,Pro-Israel
3932,US,CNN,Pro Israel,"Over 100 people arrested as NYPD breaks up pro-Palestinian protest at Columbia University, law enforcement source says",2024-04-19,Pro-Palestine
3933,US,CNN,Pro Israel,Why Qatar is unlikely to withdraw from the Gaza hostage-ceasefire talks,2024-04-19,Neutral
3934,US,CNN,Pro Israel,Ian Bremmer on Israel's potential response to Iran,2024-04-19,Pro-Israel
3935,US,CNN,Pro Israel,My darling!: Loved ones cry out for young girl killed playing foosball,2024-04-19,Pro-Palestine
3936,US,CNN,Pro Israel,US vetoes Palestinian attempt to gain statehood at the United Nations,2024-04-19,Neutral
3937,US,CNN,Pro Israel,Hospital: 10 members of one family killed in Israeli airstrike,2024-04-18,Pro-Palestine
3938,US,CNN,Pro Israel,Professor who Columbia president said was spoken to for calling Hamas invasion astounding says he wasnt disciplined,2024-04-18,Neutral
3939,US,CNN,Pro Israel,U.N. official says a looming disaster faces Rafah as people start to flee the city,2024-04-18,Pro-Palestine
3940,US,CNN,Pro Israel,U.N. official tasked with getting aid into Gaza speaks to CNN exclusively,2024-04-18,Pro-Palestine
3941,US,CNN,Pro Israel,"Iran warns Israel that any attack will be dealt with ""fiercely""",2024-04-18,Pro-Israel
3942,US,CNN,Pro Israel,Biden may be the first Democratic president since Vietnam era to face this problem,2024-04-18,Neutral
3943,US,CNN,Pro Israel,"G7 Foreign Ministers meet in Italy, to talk Israel, Iran and Ukraine",2024-04-18,Neutral
3944,US,CNN,Pro Israel,US slaps new sanctions on Irans drone program as Israel considers response to weekend attack,2024-04-18,Pro-Israel
3945,US,CNN,Pro Israel,"Opinion: To combat antisemitism, start by following the law",2024-04-18,Neutral
3946,US,CNN,Pro Israel,Biden may be the first Democratic president since Vietnam era to face this problem,2024-04-18,Neutral
3947,US,CNN,Pro Israel,Sudan marks 1 year of brutal civil war as humanitarian crisis worsens,2024-04-18,Pro-Palestine
3948,US,CNN,Pro Israel,Google fires 28 employees for protesting Israel cloud deal,2024-04-18,Neutral
3949,US,CNN,Pro Israel,Tensions running high in region as Israel considers options,2024-04-18,Pro-Israel
3950,US,CNN,Pro Israel,Tensions running high in region as Israel considers options,2024-04-18,Pro-Israel
3951,US,CNN,Pro Israel,"'I do not recommend a full scale war with Iran,' says former IDF intelligence chief",2024-04-18,Pro-Israel
3952,US,CNN,Pro Israel,Security Council to vote on Palestinian U.N. membership,2024-04-18,Neutral
3953,US,CNN,Pro Israel,"April 17, 2024 - Israel-Hamas war",2024-04-18,Neutral
3954,US,CNN,Pro Israel,Convicted Palestinian terrorist dies in Israel; What he did,2024-04-17,Neutral
3955,US,CNN,Pro Israel,'No one is concerned about us': Sudan on brink of collapse and starvation,2024-04-17,Pro-Palestine
3956,US,CNN,Pro Israel,Delivering the truth: Al Jazeera journalist on the challenging reality of reporting from Gaza,2024-04-17,Pro-Palestine
3957,US,CNN,Pro Israel,Jordan's foreign minister calls for de-escalation after Iranian attack,2024-04-15,Neutral
3958,US,CNN,Pro Israel,"We must not expand the war beyond the limits right now, says Former Chief of IDF Intelligence",2024-04-17,Neutral
3959,US,CNN,Pro Israel,The perilous journey through Gaza,2024-04-17,Pro-Palestine
3960,US,CNN,Pro Israel,'They are not supposed to be attacked': Life and death as a journalist in Gaza,2024-04-17,Pro-Palestine
3961,US,CNN,Pro Israel,Jordan walks a tightrope after downing Iranian drones and missiles,2024-04-17,Neutral
3962,US,CNN,Pro Israel,Iran issues new threats as it braces for a potential Israeli response,2024-04-17,Neutral
3963,US,CNN,Pro Israel,Apple fixes iPhone bug that suggested Palestinian flag when some people typed Jerusalem,2024-04-17,Pro-Palestine
3964,US,CNN,Pro Israel,Israel weighing response to Iranian attack,2024-04-17,Pro-Israel
3965,US,CNN,Pro Israel,Can Netanyahu avoid triggering a regional war?,2024-04-17,Pro-Israel
3966,US,CNN,Pro Israel,"Conflicts in the Middle East and Ukraine are 'theaters' in a wider confrontation, says analyst",2024-04-17,Neutral
3967,US,CNN,Pro Israel,Israel's military displays part of Iranian missile used in attack,2024-04-17,Pro-Israel
3968,US,CNN,Pro Israel,ADL says anti-Semitic incidents in the U.S. reached new high in 2023,2024-04-17,Neutral
3969,US,CNN,Pro Israel,"April 16, 2024 - Israel-Hamas war",2024-04-17,Neutral
3970,US,CNN,Pro Israel,"At least 13 killed, including 7 children, after strike on Gazas Al-Maghazi refugee camp",2024-04-17,Pro-Palestine
3971,US,CNN,Pro Israel,Antisemitism & Islamophobia amid Mideast war,2024-04-17,Neutral
3972,US,CNN,Pro Israel,GOP senator urges people stuck behind Gaza protesters to take action,2024-04-17,Pro-Palestine
3973,US,CNN,Pro Israel,Deepening US divide over Israel tests the limits of free speech,2024-04-16,Neutral
3974,US,CNN,Pro Israel,Displaced Gazans desperate to return to their homes,2024-04-16,Pro-Palestine
3975,US,CNN,Pro Israel,Gerges: My fear is that Biden is sleepwalking the U.S. into another war in the Middle East,2024-04-16,Neutral
3976,US,CNN,Pro Israel,Iraqi PM: 'The region cannot stand tension' between Iran and Israel,2024-04-16,Neutral
3977,US,CNN,Pro Israel,'We believe that reason has now been replaced by revenge': Irish PM criticizes Israel over war in Gaza,2024-04-16,Neutral
3978,US,CNN,Pro Israel,"'This could get very big, very quickly': Former U.S. defense Secretary on Israel and Iran",2024-04-16,Pro-Israel
3979,US,CNN,Pro Israel,"More steps are needed to deal with the consequences of the last six months, says Iraqi PM",2024-04-16,Neutral
3980,US,CNN,Pro Israel,"""Iran will change the paradigm forever"": Former U.S. Defense Secretary on escalating tensions in the Middle East",2024-04-16,Pro-Israel
3981,US,CNN,Pro Israel,Opinion: 5 critical takeaways from Irans attack on Israel,2024-04-16,Pro-Israel
3982,US,CNN,Pro Israel,Australia in shock after two violent incidents,2024-04-16,Neutral
3983,US,CNN,Pro Israel,"Ukraine ran out of missiles to thwart Russian strike on power plant, Zelensky says",2024-04-16,Pro-Israel
3984,US,CNN,Pro Israel,Egyptian Foreign Minister urges restraint in calls with Israel and Iran,2024-04-16,Pro-Israel
3985,US,CNN,Pro Israel,'The Ministry of Ungentlemanly Warfare' takes on the Nazis,2024-04-16,Neutral
3986,US,CNN,Pro Israel,"Pro-Palestinian protesters disrupt traffic at Golden Gate Bridge, OHare airport and other sites across US",2024-04-16,Pro-Palestine
3987,US,CNN,Pro Israel,Restraint or retribution? Israel faces dilemma in its response to Irans attack,2024-04-16,Neutral
3988,US,CNN,Pro Israel,"Hamas reduces number of hostages it's willing to release for ceasefire deal, Israeli source says",2024-04-16,Neutral
3989,US,CNN,Pro Israel,The artist running Israels Venice Biennale pavilion says she wont open it until hostage deal and Gaza ceasefire is reached,2024-04-16,Pro-Palestine
3990,US,CNN,Pro Israel,"Pro-Palestinian protesters block traffic, shut down roads across U.S.",2024-04-16,Pro-Palestine
3991,US,CNN,Pro Israel,Jon Stewart covers Iran's attack on Israel,2024-04-16,Pro-Israel
3992,US,CNN,Pro Israel,House Republicans line up bills targeting Iran after strikes on Israel,2024-04-16,Pro-Israel
3993,US,CNN,Pro Israel,"Iran says it ""will not show restraint"" if Israel crosses red lines",2024-04-16,Pro-Israel
3994,US,CNN,Pro Israel,Tensions high in Middle East amid uncertainty over what Israel will do,2024-04-16,Neutral
3995,US,CNN,Pro Israel,"April 15, 2024 - Israel-Hamas war",2024-04-16,Neutral
3996,US,CNN,Pro Israel,Retired colonel breaks down Israel's options to respond to Iran,2024-04-16,Pro-Israel
3997,US,CNN,Pro Israel,Can China play a role in avoiding an all-out war in the Middle East?,2024-04-16,Neutral
3998,US,CNN,Pro Israel,Johnson makes his long-awaited move on Ukraine as House plans to vote on separate aid packages,2024-04-16,Pro-Israel
3999,US,CNN,Pro Israel,Israel weighs response after Iran's unprecedented attack,2024-04-15,Pro-Israel
4000,US,CNN,Pro Israel,Fifteen more bodies recovered from Al-Shifa hospital area after Israeli militarys withdrawal,2024-04-15,Pro-Palestine
4001,US,CNN,Pro Israel,Allies urge caution as Israel weighs response to Iran,2024-04-15,Pro-Israel
4002,US,CNN,Pro Israel,"Israel delays Rafah offensive plans amid heated debate over response to Iranian attack, sources say",2024-04-15,Pro-Israel
4003,US,CNN,Pro Israel,Palestinians head to northern Gaza,2024-04-15,Pro-Palestine
4004,US,CNN,Pro Israel,US stocks tumble as investors await Israels response to Irans attack,2024-04-15,Pro-Palestine
4005,US,CNN,Pro Israel,Why Iran attacked Israel and what comes next,2024-04-15,Neutral
4006,US,CNN,Pro Israel,"Opinion: Theres no excuse for death to America chants, and Dearborn agrees",2024-04-15,Pro-Palestine
4007,US,CNN,Pro Israel,Sudan on brink of collapse and starvation as country marks one year of civil war,2024-04-15,Neutral
4008,US,CNN,Pro Israel,"""An escalatory spiral"": Former U.S. Ambassador to Israel warns of a fragile regional stability in the Middle East",2024-04-15,Neutral
4009,US,CNN,Pro Israel,"'Hard to see the US standing on the sidelines' if Israel goes to war with Iran, says fmr. US diplomat",2024-04-15,Pro-Israel
4010,US,CNN,Pro Israel,CNN reporter sees Palestinian man shot in West Bank,2024-04-15,Pro-Palestine
4011,US,CNN,Pro Israel,Israeli war cabinet debates on how to respond to Irans attack,2024-04-15,Neutral
4012,US,CNN,Pro Israel,Biden condemns Irans attack in a call with King Abdullah of Jordan,2024-04-15,Pro-Israel
4013,US,CNN,Pro Israel,How the Israel-Iran conflict could send oil prices higher,2024-04-15,Neutral
4014,US,CNN,Pro Israel,Regional tensions rise after Iran's attack on Israel,2024-04-15,Pro-Israel
4015,US,CNN,Pro Israel,"G7 and European Union condemn Iran's attack in ""strongest terms""",2024-04-15,Neutral
4016,US,CNN,Pro Israel,"5 things to know for April 15: Israel, Trump trial, Tax Day, Severe storms, Boston Marathon",2024-04-15,Neutral
4017,US,CNN,Pro Israel,"Opinion: Get US troops out of harms way, now",2024-04-15,Neutral
4018,US,CNN,Pro Israel,"Uncertainty after Iranian attack could impact commodities, stocks",2024-04-15,Pro-Israel
4019,US,CNN,Pro Israel,Israel's war cabinet weighs options in wake of Iranian attack,2024-04-15,Neutral
4020,US,CNN,Pro Israel,'It's a very dangerous moment': Tensions high in Middle East after Iran attack on Israel,2024-04-15,Pro-Israel
4021,US,CNN,Pro Israel,Middle East countries call for restraint in Israel-Iran conflict,2024-04-15,Neutral
4022,US,CNN,Pro Israel,"Biden stresses ""urgent need"" to pass aid bill for Israel and Ukraine",2024-04-15,Pro-Israel
4023,US,CNN,Pro Israel,Netanyahu under pressure to bring hostages home,2024-04-15,Pro-Israel
4024,US,CNN,Pro Israel,Leaders across Asia react to Iran's strikes,2024-04-15,Pro-Israel
4025,US,CNN,Pro Israel,Iran's military chiefs warn Israel against future attacks,2024-04-15,Pro-Israel
4026,US,CNN,Pro Israel,"April 14, 2024 - Irans attack on Israel",2024-04-15,Pro-Israel
4027,US,CNN,Pro Israel,Congressional leaders at odds over Israel aid next steps as conservatives warn Johnson against including Ukraine funding,2024-04-15,Pro-Israel
4028,US,CNN,Pro Israel,Irans attack seemed planned to minimize casualties while maximizing spectacle,2024-04-15,Pro-Israel
4029,US,CNN,Pro Israel,Israel debates its Iran response,2024-04-15,Pro-Israel
4030,US,CNN,Pro Israel,Israel vows to exact a price after unprecedented Iranian attack while world leaders call for restraint,2024-04-15,Neutral
4031,US,CNN,Pro Israel,Retired colonel says this shows 'Iranians clearly sending signal' to the US,2024-04-15,Pro-Palestine
4032,US,CNN,Pro Israel,Opinion: What does Iran really want?,2024-04-14,Neutral
4033,US,CNN,Pro Israel,Dramatic video shows outgoing Hezbollah rockets from Lebanon toward Israeli military,2024-04-14,Pro-Israel
4034,US,CNN,Pro Israel,"Thousands of Palestinians attempt to return home to northern Gaza, but face Israeli fire",2024-04-14,Pro-Palestine
4035,US,CNN,Pro Israel,On GPS: Iran-Israel confrontation is part of a global conflict,2024-04-14,Neutral
4036,US,CNN,Pro Israel,On GPS: Will we see an escalation between Iran and Israel?,2024-04-14,Pro-Israel
4037,US,CNN,Pro Israel,Biden tells Netanyahu US will not participate in any counter-strike against Iran,2024-04-14,Pro-Israel
4038,US,CNN,Pro Israel,Top WH official: We don't believe Iran attack is start of a broader war,2024-04-14,Pro-Israel
4039,US,CNN,Pro Israel,'This is the end of proxy war': Iranian journalist and activist on Iran's attack on Israel,2024-04-14,Pro-Israel
4040,US,CNN,Pro Israel,Clapper on Iran attack: 'A Rubicon has been crossed',2024-04-14,Pro-Israel
4041,US,CNN,Pro Israel,Fetterman splits with Biden: 'Astonishing' US isn't standing firmly with Israel,2024-04-14,Neutral
4042,US,CNN,Pro Israel,Petraeus on Iran attack: 'There's never been something like this',2024-04-14,Pro-Israel
4043,US,CNN,Pro Israel,Former Israeli PM calls for 'decisive' response to Iran attacks,2024-04-14,Neutral
4044,US,CNN,Pro Israel,Israeli official on what to expect from Israel next,2024-04-14,Pro-Israel
4045,US,CNN,Pro Israel,Coons: Israel should 'pause for the moment' after Iran attacks,2024-04-14,Neutral
4046,US,CNN,Pro Israel,How Israel and allied defenses intercepted more than 300 Iranian missiles and drones,2024-04-14,Neutral
4047,US,CNN,Pro Israel,CNN reporter sees Palestinian man shot in West Bank,2024-04-14,Pro-Palestine
4048,US,CNN,Pro Israel,'It's a very big deal': Petraeus on the significance of Iran's attack,2024-04-14,Neutral
4049,US,CNN,Pro Israel,Bolton says Biden is an 'embarrassment' to US for urging Israelis not to retaliate against Iran,2024-04-14,Pro-Israel
4050,US,CNN,Pro Israel,Kirby: Israel's response to Iran's attack 'was an incredible success',2024-04-14,Pro-Israel
4051,US,CNN,Pro Israel,"As Iran attacks Israel, Biden confronts an escalating Middle East crisis he had hoped to avoid",2024-04-14,Neutral
4052,US,CNN,Pro Israel,Video emerges of Iran seizing Israeli-linked cargo ship before they attacked,2024-04-14,Neutral
4053,US,CNN,Pro Israel,Israeli security cabinet authorizes war cabinet to decide response to Iran attack,2024-04-14,Neutral
4054,US,CNN,Pro Israel,World leaders react to Iran's strikes against Israel,2024-04-14,Neutral
4055,US,CNN,Pro Israel,"As Iran attacks Israel, Biden confronts an escalating Middle East crisis he had hoped to avoid",2024-04-14,Neutral
4056,US,CNN,Pro Israel,Video emerges of Iran seizing Israeli-linked cargo ship before they attacked,2024-04-14,Neutral
4057,US,CNN,Pro Israel,Israeli security cabinet authorizes war cabinet to decide response to Iran attack,2024-04-14,Neutral
4058,US,CNN,Pro Israel,World leaders react to Iran's strikes against Israel,2024-04-14,Neutral
4059,US,CNN,Pro Israel,Israeli security cabinet authorizes war cabinet to decide response to Iran attack,2024-04-14,Neutral
4060,US,CNN,Pro Israel,"Biden tells Netanyahu tonight was a win, nothing of 'value' hit in Israel",2024-04-14,Pro-Israel
4061,US,CNN,Pro Israel,"Israel, foreign leaders react to Iran's attack on Israel",2024-04-14,Pro-Israel
4062,US,CNN,Pro Israel,Israel: 300+ projectiles were fired by Iran towards Israel,2024-04-14,Pro-Israel
4063,US,CNN,Pro Israel,Carnegie Middle East Center director shares insight into Iran's attack and its regional impact,2024-04-14,Pro-Israel
4064,US,CNN,Pro Israel,"Israeli ""X"" account: Netanyahu ignored security warnings",2024-04-14,Pro-Israel
4065,US,CNN,Pro Israel,Biden tells Netanyahu to consider outcome of Iran attacks a win for Israel,2024-04-14,Pro-Israel
4066,US,CNN,Pro Israel,Irans Revolutionary Guard Corps Navy seizes a container ship,2024-04-14,Neutral
4067,US,CNN,Pro Israel,Reaction to Iran's attack on Israel: A mix of condemnation and concern,2024-04-14,Pro-Israel
4068,US,CNN,Pro Israel,Israel: 300+ Projectiles fired by Iran towards Israel,2024-04-14,Pro-Israel
4069,US,CNN,Pro Israel,Iran launches unprecedented retaliatory strikes on Israel in major escalation of widening conflict,2024-04-14,Neutral
4070,US,CNN,Pro Israel,'Massive failure of Israeli and American deterrence': John Bolton on Iranian strikes,2024-04-14,Pro-Israel
4071,US,CNN,Pro Israel,Iran launches barrage of strikes toward Israel,2024-04-14,Pro-Israel
4072,US,CNN,Pro Israel,Retired Lt. general predicts more attacks following drone strikes launched by Iran,2024-04-14,Pro-Israel
4073,US,CNN,Pro Israel,'I haven't seen something like that in the skies here' Robertson reports from Jerusalem,2024-04-14,Pro-Palestine
4074,US,CNN,Pro Israel,Iranian navy seizes Israel-linked container ship amid escalating tensions in Middle East,2024-04-13,Neutral
4075,US,CNN,Pro Israel,Hundreds of Israeli settlers attack Palestinian villages in the occupied West Bank after missing Israeli boy found dead,2024-04-13,Pro-Palestine
4076,US,CNN,Pro Israel,Ghost towns dot Lebanons border with Israel as Iran threatens attack,2024-04-13,Pro-Israel
4077,US,CNN,Pro Israel,Exclusive: First-hand look at Israel's other war,2024-04-13,Neutral
4078,US,CNN,Pro Israel,"U.S. expects Iran to carry out direct attack on Israel, sources say",2024-04-13,Pro-Israel
4079,US,CNN,Pro Israel,Israel says it carried out more strikes in Lebanon,2024-04-13,Pro-Israel
4080,US,CNN,Pro Israel,U.S. sees Iran moving military assets including drones and cruise missiles,2024-04-13,Pro-Palestine
4081,US,CNN,Pro Israel,Kremlin: Abandoned 2022 draft deal could form basis of future negotiations,2024-04-13,Neutral
4082,US,CNN,Pro Israel,Biden says Iran expected to attack Israel sooner than later,2024-04-13,Pro-Israel
4083,US,CNN,Pro Israel,Gaza's humanitarian crisis,2024-04-13,Pro-Palestine
4084,US,CNN,Pro Israel,"April 12, 2024 - Israel-Hamas war",2024-04-13,Neutral
4085,US,CNN,Pro Israel,"US expects Iran to carry out direct attack on Israel, sources say, as Biden warns dont",2024-04-13,Pro-Israel
4086,US,CNN,Pro Israel,Retired general breaks down Israeli defense system,2024-04-13,Pro-Palestine
4087,US,CNN,Pro Israel,"Israeli settlers storm West Bank village, setting cars and homes ablaze",2024-04-12,Pro-Palestine
4088,US,CNN,Pro Israel,The world must step up for Sudan: U.S. Special Envoy sounds alarm on civil war,2024-04-12,Neutral
4089,US,CNN,Pro Israel,"Journalists injured in attack on Gaza refugee camp, including CNN stringer",2024-04-12,Pro-Palestine
4090,US,CNN,Pro Israel,Biden sends message to Iran,2024-04-12,Pro-Israel
4091,US,CNN,Pro Israel,The iPhone suggests a Palestinian flag when some people type Jerusalem. Apple is working on a fix,2024-04-12,Pro-Palestine
4092,US,CNN,Pro Israel,"'We are hurtling to a situation that is out of control,' says U.S. envoy to Sudan",2024-04-12,Pro-Palestine
4093,US,CNN,Pro Israel,"There is no joy: Palestinians mark Eid in destroyed mosques and homes, as Israels war in Gaza rages",2024-04-12,Pro-Palestine
4094,US,CNN,Pro Israel,A solemn Eid in Gaza,2024-04-11,Pro-Palestine
4095,US,CNN,Pro Israel,Germany to give Holocaust survivors $236 payout to help them cope with October 7 attacks,2024-04-12,Pro-Palestine
4096,US,CNN,Pro Israel,Israel says aid to Gaza is ramping up — but the UN says its yet to see a major change on the ground,2024-04-12,Pro-Israel
4097,US,CNN,Pro Israel,Adviser to Israeli Defense Minister on what a possible Iranian attack could look like,2024-04-12,Neutral
4098,US,CNN,Pro Israel,Cornel West and running mate Melina Abdullah refuse to condemn Hamas actions in first joint TV interview,2024-04-12,Neutral
4099,US,CNN,Pro Israel,Israel on alert for possible retaliation from Iran,2024-04-12,Neutral
4100,US,CNN,Pro Israel,Third-party presidential candidate refuses to condemn Hamas' actions,2024-04-12,Neutral
4101,US,CNN,Pro Israel,"April 11, 2024 - Israel-Hamas war",2024-04-12,Neutral
4102,US,CNN,Pro Israel,Jewish Berkeley dean speaks after graduation dinner at his home was disrupted by pro-Palestinian student,2024-04-12,Pro-Palestine
4103,US,CNN,Pro Israel,Jewish dean's student dinner disrupted by Gaza speech,2024-04-11,Pro-Palestine
